fecha,close_price,trading_volume,rsi_14,sentiment_score,news_volume
1999-02-10,0.03473789244890213,148224000,42.68316084286686,0.0,0.0
1999-02-11,0.03772202506661415,132240000,50.264075541040185,0.0,0.0
1999-02-12,0.0398709774017334,109728000,45.976952882554265,0.0,0.0
1999-02-16,0.04010933265089989,211008000,55.0332018119304,0.0,0.0
1999-02-17,0.03796038776636124,67728000,49.396212118198775,0.0,0.0
1999-02-18,0.03855722397565842,70704000,51.1768355829244,0.0,0.0
1999-02-19,0.0398709774017334,75360000,59.03765051148984,0.0,0.0
1999-02-22,0.04010933265089989,205248000,58.023941326295144,0.0,0.0
1999-02-23,0.04201899841427803,138096000,71.42779905328835,0.0,0.0
1999-02-24,0.045361608266830444,612768000,74.9999500215901,0.0,0.0
1999-02-25,0.04392959177494049,149136000,67.443585871305,0.0,0.0
1999-02-26,0.04189981892704964,172608000,59.44441804150971,0.0,0.0
1999-03-01,0.042139098048210144,92160000,63.74285359561918,0.0,0.0
1999-03-02,0.04178064316511154,55248000,67.28449859788671,0.0,0.0
1999-03-03,0.03891567513346672,61392000,59.56181329413631,0.0,0.0
1999-03-04,0.038079578429460526,57360000,50.90754899135387,0.0,0.0
1999-03-05,0.04022851586341858,78768000,50.907511853964685,0.0,0.0
1999-03-08,0.04082535207271576,75888000,51.784967352949806,0.0,0.0
1999-03-09,0.042139098048210144,143184000,60.8699388383136,0.0,0.0
1999-03-10,0.04142216593027115,235344000,57.406191666518744,0.0,0.0
1999-03-11,0.039631687104701996,54288000,49.39625006891701,0.0,0.0
1999-03-12,0.03891567513346672,90768000,47.05931688407243,0.0,0.0
1999-03-15,0.04058698192238808,108816000,46.43018008683077,0.0,0.0
1999-03-16,0.03927414491772652,79152000,33.11631194263673,0.0,0.0
1999-03-17,0.039512503892183304,51360000,36.88043905884739,0.0,0.0
1999-03-18,0.039990149438381195,46320000,43.751814105760694,0.0,0.0
1999-03-19,0.04010933265089989,105312000,43.30627508182365,0.0,0.0
1999-03-22,0.03891567513346672,36672000,41.04525790904549,0.0,0.0
1999-03-23,0.03652837872505188,163968000,42.308594921195976,0.0,0.0
1999-03-24,0.03628910332918167,60864000,44.00071363816104,0.0,0.0
1999-03-25,0.036766745150089264,40320000,36.937865905129215,0.0,0.0
1999-03-26,0.039990149438381195,88272000,47.36985864426084,0.0,0.0
1999-03-29,0.04118381440639496,65952000,46.9687926985804,0.0,0.0
1999-03-30,0.03772202506661415,69504000,40.00096837594418,0.0,0.0
1999-03-31,0.04034769907593727,153600000,51.85129488911851,0.0,0.0
1999-04-01,0.03915403410792351,30432000,50.601413050305844,0.0,0.0
1999-04-05,0.03796038776636124,98640000,43.208600689069314,0.0,0.0
1999-04-06,0.037006016820669174,69696000,44.024691209306745,0.0,0.0
1999-04-07,0.04010933265089989,89280000,51.36606865986179,0.0,0.0
1999-04-08,0.04082535207271576,130128000,51.89105435016639,0.0,0.0
1999-04-09,0.04010933265089989,48624000,49.99996913506035,0.0,0.0
1999-04-12,0.038438040763139725,33312000,48.968677865021405,0.0,0.0
1999-04-13,0.03688592463731766,36144000,50.800854254964015,0.0,0.0
1999-04-14,0.0358123779296875,48288000,48.97060007756916,0.0,0.0
1999-04-15,0.036766745150089264,35856000,49.999970380281816,0.0,0.0
1999-04-16,0.03796038776636124,38928000,45.30212896228672,0.0,0.0
1999-04-19,0.03628910332918167,31296000,38.91631367849512,0.0,0.0
1999-04-20,0.035573091357946396,67680000,44.442851628510084,0.0,0.0
1999-04-21,0.036169908940792084,37488000,37.92969814426385,0.0,0.0
1999-04-22,0.03461778536438942,227184000,37.160009842068646,0.0,0.0
1999-04-23,0.03294740617275238,126048000,36.18348793042892,0.0,0.0
1999-04-26,0.031276118010282516,123504000,34.80793178095075,0.0,0.0
1999-04-27,0.03461778536438942,226944000,35.621617840459294,0.0,0.0
1999-04-28,0.03437943384051323,120096000,32.68983481278917,0.0,0.0
1999-04-29,0.03437943384051323,48144000,33.997251686004816,0.0,0.0
1999-04-30,0.03485707938671112,99312000,39.28445595368484,0.0,0.0
1999-05-03,0.03509543836116791,33840000,44.18498779453721,0.0,0.0
1999-05-04,0.03318576142191887,96048000,41.9089128633354,0.0,0.0
1999-05-05,0.03390178084373474,144576000,41.04318165541639,0.0,0.0
1999-05-06,0.03324537351727486,35616000,34.7469778277496,0.0,0.0
1999-05-07,0.033424146473407745,25008000,39.74124047798361,0.0,0.0
1999-05-10,0.033424146473407745,19680000,41.88920465879104,0.0,0.0
1999-05-11,0.035214614123106,171744000,46.69241258082654,0.0,0.0
1999-05-12,0.03628910332918167,168480000,55.984528901662046,0.0,0.0
1999-05-13,0.03628910332918167,69936000,63.59163718606723,0.0,0.0
1999-05-14,0.03437943384051323,28464000,62.38196476434353,0.0,0.0
1999-05-17,0.03605072945356369,35760000,56.596574162136925,0.0,0.0
1999-05-18,0.03772202506661415,151536000,63.594219030643075,0.0,0.0
1999-05-19,0.03605072945356369,451728000,55.98364749320432,0.0,0.0
1999-05-20,0.03318576142191887,178176000,44.889746606165005,0.0,0.0
1999-05-21,0.032469771802425385,303504000,42.19957170226584,0.0,0.0
1999-05-24,0.03234966844320297,162624000,47.22053464098483,0.0,0.0
1999-05-25,0.03258894756436348,130080000,45.49284884382727,0.0,0.0
1999-05-26,0.032469771802425385,104736000,47.235239583186775,0.0,0.0
1999-05-27,0.03223048895597458,82320000,45.763314045848844,0.0,0.0
1999-05-28,0.03258894756436348,88656000,47.10914659151838,0.0,0.0
1999-06-01,0.03270811587572098,98544000,40.189380591829256,0.0,0.0
1999-06-02,0.03151446953415871,130128000,31.484487962452363,0.0,0.0
1999-06-03,0.03234966844320297,41568000,35.65265335339835,0.0,0.0
1999-06-04,0.03258894756436348,78912000,42.575745029907075,0.0,0.0
1999-06-07,0.03294740617275238,125136000,35.55998140480585,0.0,0.0
1999-06-08,0.033782605081796646,153312000,30.122977131716695,0.0,0.0
1999-06-09,0.03437943384051323,95184000,40.54159537938436,0.0,0.0
1999-06-10,0.03449859842658043,36096000,60.77984711750785,0.0,0.0
1999-06-11,0.033782605081796646,61008000,60.77980993352739,0.0,0.0
1999-06-14,0.032469771802425385,51648000,50.82456523400332,0.0,0.0
1999-06-15,0.032469771802425385,49296000,49.15380650548108,0.0,0.0
1999-06-16,0.033424146473407745,64416000,56.05720201580544,0.0,0.0
1999-06-17,0.032469771802425385,74928000,51.39223243262428,0.0,0.0
1999-06-18,0.031276118010282516,158736000,43.03766720046439,0.0,0.0
1999-06-21,0.03294740617275238,83472000,51.08957014434985,0.0,0.0
1999-06-22,0.03234966844320297,193056000,54.02134464316708,0.0,0.0
1999-06-23,0.03294740617275238,210912000,52.94534058974613,0.0,0.0
1999-06-24,0.03223048895597458,115200000,48.313002671127386,0.0,0.0
1999-06-25,0.03270811587572098,73536000,48.88630861759972,0.0,0.0
1999-06-28,0.03318576142191887,109152000,47.12667669054028,0.0,0.0
1999-06-29,0.03354424983263016,92688000,45.884852441650786,0.0,0.0
1999-06-30,0.03652837872505188,269232000,57.79910571775986,0.0,0.0
1999-07-01,0.03461778536438942,88992000,52.93919167894633,0.0,0.0
1999-07-02,0.037125203758478165,224880000,65.11303112682353,0.0,0.0
1999-07-06,0.03724437206983566,198096000,65.38088604731165,0.0,0.0
1999-07-07,0.03652837872505188,63120000,60.15593018790687,0.0,0.0
1999-07-08,0.03736357018351555,186048000,66.13661441248524,0.0,0.0
1999-07-09,0.04052738845348358,211728000,76.99714557808505,0.0,0.0
1999-07-12,0.042377445846796036,401040000,77.23467301831595,0.0,0.0
1999-07-13,0.04249664396047592,138864000,80.13830078275468,0.0,0.0
1999-07-14,0.04082535207271576,137952000,71.99611680914316,0.0,0.0
1999-07-15,0.04106462746858597,137040000,75.34185393142329,0.0,0.0
1999-07-16,0.04189981892704964,103872000,75.83753299787142,0.0,0.0
1999-07-19,0.04082535207271576,43632000,70.77745277683486,0.0,0.0
1999-07-20,0.04010933265089989,178752000,67.51448504314536,0.0,0.0
1999-07-21,0.03891567513346672,112080000,57.04156801265873,0.0,0.0
1999-07-22,0.037125203758478165,213264000,57.44866512406539,0.0,0.0
1999-07-23,0.037125203758478165,80256000,49.99995113033716,0.0,0.0
1999-07-26,0.03724437206983566,60528000,49.99995113033716,0.0,0.0
1999-07-27,0.03736357018351555,98592000,53.04209320215569,0.0,0.0
1999-07-28,0.03796038776636124,244224000,52.2122442694317,0.0,0.0
1999-07-29,0.038318853825330734,388800000,39.66354040841902,0.0,0.0
1999-07-30,0.038438040763139725,452304000,27.998028740978242,0.0,0.0
1999-08-02,0.03879650682210922,313344000,29.872304515492758,0.0,0.0
1999-08-03,0.03784121200442314,255216000,32.39581264959351,0.0,0.0
1999-08-04,0.03784121200442314,89952000,30.431849954600693,0.0,0.0
1999-08-05,0.038438040763139725,240576000,28.35853958292381,0.0,0.0
1999-08-06,0.038438040763139725,183984000,32.7594812073351,0.0,0.0
1999-08-09,0.038438040763139725,31056000,36.5381621661911,0.0,0.0
1999-08-10,0.03915403410792351,212064000,52.079833430833965,0.0,0.0
1999-08-11,0.04178064316511154,197712000,85.45076826979967,0.0,0.0
1999-08-12,0.04380948841571808,239616000,88.88515143928936,0.0,0.0
1999-08-13,0.04333275556564331,84672000,84.00391831443801,0.0,0.0
1999-08-16,0.04166143387556076,223440000,70.45703474954846,0.0,0.0
1999-08-17,0.04178064316511154,193536000,69.04983318561578,0.0,0.0
1999-08-18,0.04273592680692673,279888000,70.78853577932078,0.0,0.0
1999-08-19,0.051807504147291183,1966992000,84.14724437491631,0.0,0.0
1999-08-20,0.05133078992366791,353088000,81.82187235642446,0.0,0.0
1999-08-23,0.04822654277086258,507984000,73.77223301324268,0.0,0.0
1999-08-24,0.0479881726205349,398064000,72.97586946136813,0.0,0.0
1999-08-25,0.04774889349937439,350352000,71.42964982334709,0.0,0.0
1999-08-26,0.04703288525342941,275376000,69.1505165684681,0.0,0.0
1999-08-27,0.04965948686003685,552384000,72.38305044713957,0.0,0.0
1999-08-30,0.049479804933071136,158640000,71.04677584950193,0.0,0.0
1999-08-31,0.05371808633208275,786864000,72.83175063691107,0.0,0.0
1999-09-01,0.0512106828391552,565344000,63.90116179953785,0.0,0.0
1999-09-02,0.050613872706890106,341088000,63.614219118008975,0.0,0.0
1999-09-03,0.05097230523824692,258864000,68.30833875994273,0.0,0.0
1999-09-07,0.05073396489024162,124416000,67.52317658533812,0.0,0.0
1999-09-08,0.050613872706890106,170064000,65.93958095227961,0.0,0.0
1999-09-09,0.04989783838391304,209472000,44.16225399978429,0.0,0.0
1999-09-10,0.050613872706890106,167424000,47.84000011957042,0.0,0.0
1999-09-13,0.04894256964325905,174432000,52.36110156332247,0.0,0.0
1999-09-14,0.0475105345249176,250368000,48.539857478597476,0.0,0.0
